DBSCAN_Cluster,Count,Avg_Severity,Fatal_Count,Injured_Count,Lat,Lon,Districts,Top_Road,Top_Collision,Score,Blackspot_Rank
9,71,1.4647887323943662,40,250,23.47894866197183,70.47759205633803,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",NH-53,Rear-End,0.790427115538761,1
50,71,1.4225352112676057,27,278,23.502472408450704,69.02727766197184,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",SH-6,Pedestrian Hit,0.7213786785755182,2
19,40,1.475,17,149,21.4486393,72.883581975,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat",SH-41,Hit & Run,0.5049456086110157,3
3,29,1.5517241379310345,27,94,23.117540931034483,71.62776617241379,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",SH-41,Hit & Run,0.5019841504874496,4
11,19,1.631578947368421,20,70,23.68583994736842,71.30240231578948,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat",SH-14,Rollover,0.4221470887800056,5
10,24,1.75,9,94,20.444639291666665,71.96888170833334,"Anand, Bharuch, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",SH-6,Side Impact,0.4124470399633574,6
32,31,1.3225806451612903,8,126,22.270897580645162,71.53249358064517,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",SH-41,Single Vehicle,0.39001636358935154,7
15,20,1.55,12,75,22.656526550000002,68.5628677,"Ahmedabad, Anand, Bharuch, Bhavnagar, Junagadh, Mehsana, Rajkot, Surat",SH-6,Side Impact,0.37787930837054856,8
5,22,1.4090909090909092,12,66,22.56910272727273,71.01285940909091,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Mehsana, Rajkot, Surat, Vadodara",NH-48,Rear-End,0.37035903521647257,9
29,12,1.75,14,43,23.915514916666666,73.17571258333334,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Rajkot, Surat, Vadodara",NH-53,Side Impact,0.36923165006297953,10
12,12,1.75,11,50,20.88874733333333,72.274855,"Ahmedabad, Anand, Bharuch, Gandhinagar, Junagadh, Surat, Vadodara",SH-14,Head-On,0.3545975037215161,11
0,29,1.206896551724138,4,79,20.654135655172414,71.37866434482758,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Surat, Vadodara",NH-48,Hit & Run,0.34381201704197717,12
102,4,2.25,4,11,20.5801245,68.22500525000001,"Anand, Bhavnagar, Gandhinagar",SH-14,Side Impact,0.34204740638955694,13
4,23,1.2173913043478262,9,90,24.585455434782606,69.19378152173913,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",City Road,Hit & Run,0.3357987443928328,14
83,14,1.6428571428571428,6,68,21.402195214285715,74.2521825,"Ahmedabad, Anand, Bharuch, Bhavnagar, Mehsana, Rajkot, Vadodara",NH-27,Hit & Run,0.3271891511671656,15
36,13,1.6153846153846154,7,44,20.64180146153846,72.8972776923077,"Ahmedabad, Anand, Bhavnagar, Junagadh, Mehsana, Rajkot, Surat",SH-14,Side Impact,0.3227703934677484,16
99,4,2.0,6,17,23.8368735,68.19495125,"Anand, Mehsana, Rajkot, Vadodara",NH-8,Rollover,0.3184701706171992,17
59,10,1.7,7,46,22.2493426,72.8319338,"Ahmedabad, Bharuch, Bhavnagar, Gandhinagar, Mehsana, Rajkot, Surat, Vadodara",Bypass Road,Head-On,0.31715103629909547,18
86,10,1.7,6,30,24.4211531,72.4488672,"Anand, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",Bypass Road,Head-On,0.31227298751860766,19
92,5,1.8,9,18,22.61799,72.78507640000001,"Bhavnagar, Rajkot, Vadodara",Airport Road,Side Impact,0.3120714531088973,20
41,10,1.7,5,43,21.9476328,74.25953530000001,"Bharuch, Bhavnagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",NH-27,Rollover,0.30739493873811985,21
77,18,1.2777777777777777,7,58,23.441071,72.60496977777778,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Mehsana, Rajkot, Surat, Vadodara",Airport Road,Rear-End,0.3059251625380104,22
46,21,1.1428571428571428,7,50,24.474317142857142,70.27226833333333,"Ahmedabad, Anand, Bharuch, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",Bypass Road,Head-On,0.3048371529992966,23
90,5,2.0,2,20,24.4771716,68.2936474,"Ahmedabad, Anand, Bhavnagar, Gandhinagar, Mehsana",NH-27,Head-On,0.30459177831214934,24
40,6,1.8333333333333333,5,22,20.258803333333333,68.71210883333333,"Ahmedabad, Anand, Bharuch, Mehsana",Industrial Road,Hit & Run,0.3026375052482919,25
7,23,1.2173913043478262,2,82,23.922004,71.73062800000001,"Ahmedabad, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",NH-8,Side Impact,0.3016524029294182,26
13,5,2.0,1,30,20.5690258,73.4226306,"Anand, Junagadh, Mehsana, Rajkot",Industrial Road,Pedestrian Hit,0.29971372953166153,27
107,4,2.0,1,19,20.18218875,69.07217875,"Ahmedabad, Anand, Gandhinagar",Airport Road,Rear-End,0.29407992671476013,28
27,9,1.6666666666666667,4,36,22.753403888888887,72.17013377777778,"Ahmedabad, Anand, Bhavnagar, Gandhinagar, Mehsana, Rajkot, Surat",NH-48,Head-On,0.29243864269628617,29
14,16,1.1875,9,40,22.267765625,69.094480125,"Bharuch, Bhavnagar, Junagadh, Mehsana, Rajkot, Surat, Vadodara",Airport Road,Single Vehicle,0.2923766174281461,30
34,13,1.3846153846153846,7,48,21.62199323076923,71.85732992307693,"Anand, Bharuch, Gandhinagar, Junagadh, Mehsana, Rajkot, Vadodara",SH-14,Pedestrian Hit,0.2920011626985176,31
25,15,1.2666666666666666,5,52,22.161586600000003,68.20734973333333,"Ahmedabad, Anand, Bharuch, Bhavnagar, Gandhinagar, Junagadh, Mehsana, Surat",SH-14,Rear-End,0.27778617504484904,32
71,8,1.5,6,27,21.5801705,73.8591035,"Bhavnagar, Gandhinagar, Mehsana, Rajkot, Vadodara",NH-8,Head-On,0.27433871521813813,33
20,4,1.75,3,13,21.18066975,68.395685,"Anand, Gandhinagar, Mehsana",Expressway,Hit & Run,0.2705026909424024,34
