Accident_ID,District,Police_Station,Accident_DateTime,Latitude,Longitude,Road_Name,Road_Classification,Severity,No_of_Vehicles,Drivers_Killed,Drivers_Grievous_Injury,Drivers_Minor_Injury,Passengers_Killed,Passengers_Grievous_Injury,Passengers_Minor_Injury,Pedestrians_Killed,Pedestrians_Grievous_Injury,Pedestrians_Minor_Injury,Collision_Type,Collision_Feature,Weather_Condition,Light_Condition,Visibility,Traffic_Violation,Date,Year,Month,Hour,DayOfWeek,Month_Name,Severity_Score,Total_Killed,Total_Injured,Time_Category,DBSCAN_Cluster
ACC00001,Ahmedabad,Naranpura PS,2022-07-18 07:14:00,20.571478,71.535809,Industrial Road,State Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Hit & Run,Unknown,Clear,Night - Street Light On,Moderate,Unknown,2022-07-18,2022,7,7,Monday,Jul,0,0,0,Morning,0
ACC00002,Junagadh,Keshod PS,2024-08-23 22:34:00,22.166362,73.576592,NH-8,Urban Road,Minor,3,0,0,1,0,0,0,0,0,1,Pedestrian Hit,Bridge,Foggy,Night - No Street Light,Moderate,Wrong Side Driving,2024-08-23,2024,8,22,Friday,Aug,1,0,2,Night,-1
ACC00003,Ahmedabad,Chandkheda PS,2022-12-06 19:16:00,23.456766,74.230629,Ring Road,National Highway,Grievous,1,0,1,2,0,0,1,0,0,0,Head-On,Flyover,Unknown,Night - No Street Light,Moderate,Drunk Driving,2022-12-06,2022,12,19,Tuesday,Dec,2,0,4,Evening,84
ACC00004,Anand,Khambhat PS,2023-07-18 20:53:00,21.802832,69.78196,City Road,National Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Single Vehicle,Pothole Area,Rainy,Night - Street Light On,Moderate,Overloading,2023-07-18,2023,7,20,Tuesday,Jul,0,0,0,Evening,1
ACC00005,Gandhinagar,Dehgam PS,2022-03-26 21:20:00,23.6696,68.302232,SH-20,District Road,Minor,4,0,0,2,0,0,2,0,0,0,Hit & Run,Curve,Hazy,Night - No Street Light,Moderate,Unknown,2022-03-26,2022,3,21,Saturday,Mar,1,0,4,Evening,16
ACC00006,Vadodara,Waghodiya PS,2021-10-13 07:47:00,21.308611,73.756284,Ring Road,National Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Side Impact,Curve,Hazy,Dawn/Dusk,Good,Over Speeding,2021-10-13,2021,10,7,Wednesday,Oct,0,0,0,Morning,-1
ACC00007,Vadodara,Fatehgunj PS,2024-10-25 13:38:00,21.855449,71.43342,Airport Road,Urban Road,Grievous,3,0,2,0,0,0,1,0,0,1,Pedestrian Hit,Pothole Area,Unknown,Daylight,Poor,Unknown,2024-10-25,2024,10,13,Friday,Oct,2,0,4,Afternoon,2
ACC00008,Gandhinagar,Dehgam PS,2022-01-01 16:58:00,22.976381,71.298276,SH-6,National Highway,Grievous,0,0,2,0,0,0,1,0,0,0,Rear-End,Curve,Hazy,Daylight,Poor,Overloading,2022-01-01,2022,1,16,Saturday,Jan,2,0,3,Afternoon,3
ACC00009,Bhavnagar,Bhavnagar City PS,2021-06-25 23:31:00,24.598729,68.892291,City Road,State Highway,Minor,2,0,0,3,0,0,1,0,0,1,Hit & Run,Curve,Foggy,Dawn/Dusk,Moderate,Unknown,2021-06-25,2021,6,23,Friday,Jun,1,0,5,Night,4
ACC00010,Bharuch,Vagra PS,2023-11-26 14:07:00,20.394519,71.589706,Industrial Road,State Highway,Grievous,1,0,1,1,0,0,2,0,1,1,Rear-End,Unknown,Unknown,Daylight,Moderate,Drunk Driving,2023-11-26,2023,11,14,Sunday,Nov,2,0,6,Afternoon,0
