Accident_ID,District,Police_Station,Accident_DateTime,Latitude,Longitude,Road_Name,Road_Classification,Severity,No_of_Vehicles,Drivers_Killed,Drivers_Grievous_Injury,Drivers_Minor_Injury,Passengers_Killed,Passengers_Grievous_Injury,Passengers_Minor_Injury,Pedestrians_Killed,Pedestrians_Grievous_Injury,Pedestrians_Minor_Injury,Collision_Type,Collision_Feature,Weather_Condition,Light_Condition,Visibility,Traffic_Violation,Date,Year,Month,Hour,DayOfWeek,Month_Name,Severity_Score,Total_Killed,Total_Injured,Time_Category
ACC00002,Junagadh,Keshod PS,2024-08-23 22:34:00,22.166362,73.576592,NH-8,Urban Road,Minor,3,0,0,1,0,0,0,0,0,1,Pedestrian Hit,Bridge,Foggy,Night - No Street Light,Moderate,Wrong Side Driving,2024-08-23,2024,8,22,Friday,Aug,1,0,2,Night
ACC00003,Ahmedabad,Chandkheda PS,2022-12-06 19:16:00,23.456766,74.230629,Ring Road,National Highway,Grievous,1,0,1,2,0,0,1,0,0,0,Head-On,Flyover,Unknown,Night - No Street Light,Moderate,Drunk Driving,2022-12-06,2022,12,19,Tuesday,Dec,2,0,4,Evening
ACC00004,Anand,Khambhat PS,2023-07-18 20:53:00,21.802832,69.78196,City Road,National Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Single Vehicle,Pothole Area,Rainy,Night - Street Light On,Moderate,Overloading,2023-07-18,2023,7,20,Tuesday,Jul,0,0,0,Evening
ACC00006,Vadodara,Waghodiya PS,2021-10-13 07:47:00,21.308611,73.756284,Ring Road,National Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Side Impact,Curve,Hazy,Dawn/Dusk,Good,Over Speeding,2021-10-13,2021,10,7,Wednesday,Oct,0,0,0,Morning
ACC00007,Vadodara,Fatehgunj PS,2024-10-25 13:38:00,21.855449,71.43342,Airport Road,Urban Road,Grievous,3,0,2,0,0,0,1,0,0,1,Pedestrian Hit,Pothole Area,Unknown,Daylight,Poor,Unknown,2024-10-25,2024,10,13,Friday,Oct,2,0,4,Afternoon
ACC00008,Gandhinagar,Dehgam PS,2022-01-01 16:58:00,22.976381,71.298276,SH-6,National Highway,Grievous,0,0,2,0,0,0,1,0,0,0,Rear-End,Curve,Hazy,Daylight,Poor,Overloading,2022-01-01,2022,1,16,Saturday,Jan,2,0,3,Afternoon
ACC00011,Rajkot,Bhaktinagar PS,2021-09-28 23:59:00,22.750574,71.07973,Ring Road,District Road,Fatal,4,2,1,0,0,1,2,0,0,0,Rear-End,Pothole Area,Cloudy,Night - No Street Light,Unknown,No Seatbelt,2021-09-28,2021,9,23,Tuesday,Sep,3,2,4,Night
ACC00012,Rajkot,Mavdi PS,2024-01-04 14:08:00,21.381308,73.916573,Bypass Road,State Highway,Grievous,2,0,2,0,0,1,1,0,1,0,Pedestrian Hit,Speed Breaker,Clear,Daylight,Good,Drunk Driving,2024-01-04,2024,1,14,Thursday,Jan,2,0,5,Afternoon
ACC00013,Surat,Katargam PS,2023-02-16 00:24:00,23.706725,70.764947,Expressway,District Road,Minor,2,0,0,1,0,0,2,0,0,0,Pedestrian Hit,Pothole Area,Cloudy,Night - Street Light On,Moderate,Mobile Phone Use,2023-02-16,2023,2,0,Thursday,Feb,1,0,3,Night
ACC00014,Bharuch,Bharuch City PS,2021-04-13 18:30:00,24.022512,74.152907,NH-27,National Highway,Minor,2,0,0,3,0,0,2,0,0,0,Pedestrian Hit,Speed Breaker,Clear,Night - Street Light On,Unknown,Drunk Driving,2021-04-13,2021,4,18,Tuesday,Apr,1,0,5,Evening
